Task ID,Task Description,Skill Requirement,Task Deadline,Task Priority,Task Dependencies,Estimated Completion Time,Team Member ID,Team Member Skills,Team Member Workload
TASK-00018,From government though meet ever.,SEO,2025-01-02,High,[],4,TM-253,"['Java', 'DevOps']",2
TASK-00019,Respond evening thing sometimes.,Graphic Design,2025-01-06,High,[],8,TM-485,"['Editing', 'Java', 'Event Planning']",1
TASK-00020,Actually language value girl.,Event Planning,2024-12-28,High,['TASK-00012'],7,TM-245,"['Design', 'Python', 'Finance', 'Event Planning']",0
TASK-00021,Really of president environment.,Marketing,2024-12-30,High,"['TASK-00001', 'TASK-00018', 'TASK-00016']",1,TM-199,"['CSS', 'Graphic Design', 'DevOps', 'Marketing', 'Editing']",4
TASK-00022,Ago possible position leader.,HTML,2025-01-07,Medium,[],6,TM-181,"['SEO', 'Graphic Design', 'Finance']",1
TASK-00023,Camera pattern office red choice hot entire.,Design,2025-01-13,Low,[],1,TM-117,"['Java', 'Python', 'Graphic Design', 'DevOps', 'HTML']",1
TASK-00024,Character study without move material each plan.,C++,2025-01-10,Low,['TASK-00015'],3,TM-145,"['SEO', 'DevOps']",19
TASK-00025,Dark prevent but talk vote.,Design,2025-01-07,Medium,['TASK-00020'],7,TM-246,"['C++', 'Customer Support']",8
TASK-00026,Culture decision drive safe collection star.,Marketing,2025-01-03,Medium,"['TASK-00008', 'TASK-00015']",5,TM-483,"['Data Analysis', 'Design', 'Editing', 'CSS']",10
TASK-00027,What quickly kind commercial.,Customer Support,2024-12-29,Low,[],6,TM-462,"['Event Planning', 'Editing', 'Java', 'HTML', 'C++']",16
TASK-00028,Respond reflect recognize argue chair up.,Design,2025-01-11,Medium,['TASK-00004'],6,TM-372,"['Java', 'Design', 'DevOps']",14
TASK-00029,Friend coach put decide keep develop since.,Finance,2025-01-13,Low,[],8,TM-429,"['Editing', 'Customer Support']",18
TASK-00030,Wide their center work billion your everybody.,Teaching,2025-01-11,Medium,[],1,TM-143,"['Event Planning', 'Python', 'Graphic Design', 'Marketing', 'Finance']",14
TASK-00031,After myself thing hot actually theory.,Java,2025-01-14,Low,['TASK-00013'],3,TM-338,"['Java', 'Data Analysis', 'Python', 'Editing', 'Teaching']",11
TASK-00032,Study plant join discover sing.,Python,2024-12-28,High,"['TASK-00030', 'TASK-00027']",5,TM-415,"['Python', 'SEO', 'DevOps']",19
TASK-00033,Recognize range outside agree effort week.,Graphic Design,2025-01-03,Medium,[],2,TM-284,"['Data Analysis', 'Finance', 'Marketing', 'Customer Support', 'DevOps']",18
TASK-00034,Challenge bad executive.,Customer Support,2025-01-19,Medium,['TASK-00025'],8,TM-382,"['CSS', 'Python', 'Customer Support']",8
TASK-00035,Investment wife effort then subject lawyer.,C++,2025-01-04,Low,"['TASK-00022', 'TASK-00026']",1,TM-316,"['DevOps', 'Editing', 'SEO', 'CSS']",20
TASK-00036,High force into network.,Python,2024-12-29,Low,"['TASK-00021', 'TASK-00017']",3,TM-228,"['Python', 'Finance', 'Customer Support', 'Design', 'Event Planning']",11
TASK-00037,Challenge instead find collection opportunity as.,Event Planning,2024-12-28,High,['TASK-00027'],1,TM-297,"['Editing', 'SEO']",2
TASK-00038,Defense finally keep something politics real.,Finance,2025-01-12,Low,"['TASK-00018', 'TASK-00017']",8,TM-066,"['SQL', 'CSS', 'Graphic Design']",19
TASK-00039,Floor carry data between hear return.,Java,2025-01-10,Low,[],1,TM-095,"['SEO', 'Java', 'Editing', 'DevOps', 'HTML']",1
TASK-00040,Occur rule world woman many role.,Editing,2025-01-11,Medium,[],6,TM-277,"['Design', 'DevOps']",3
TASK-00041,Color show or responsibility number number never.,C++,2025-01-08,High,"['TASK-00008', 'TASK-00033', 'TASK-00005']",4,TM-105,"['DevOps', 'Graphic Design', 'Java', 'SEO']",13
TASK-00042,Wide forward animal vote beyond color she indicate.,Data Analysis,2025-01-20,Low,[],6,TM-311,"['SEO', 'Graphic Design', 'Finance', 'Customer Support']",11
TASK-00043,Upon write reason effort event threat.,Event Planning,2024-12-31,Medium,[],3,TM-189,"['Data Analysis', 'CSS']",18
TASK-00044,Main stage everybody tell apply realize.,Python,2025-01-01,Low,['TASK-00021'],6,TM-482,"['Teaching', 'Java', 'SEO']",4
TASK-00045,Security newspaper remain each nature great modern improve.,Teaching,2024-12-28,High,[],2,TM-491,"['Customer Support', 'Graphic Design', 'Editing']",3
TASK-00046,Entire administration thus customer.,Customer Support,2025-01-08,Low,"['TASK-00043', 'TASK-00034', 'TASK-00029']",6,TM-138,"['Data Analysis', 'Design', 'SQL']",7
TASK-00047,Nor according remember represent.,DevOps,2024-12-25,Low,"['TASK-00021', 'TASK-00008', 'TASK-00045']",4,TM-228,"['DevOps', 'C++', 'SQL', 'Editing', 'Graphic Design']",2
TASK-00048,Mean break draw of another.,DevOps,2025-01-18,High,"['TASK-00039', 'TASK-00015', 'TASK-00029']",7,TM-118,"['Design', 'Graphic Design', 'SEO']",18
TASK-00049,Top across and long key.,CSS,2024-12-31,High,"['TASK-00019', 'TASK-00022']",6,TM-061,"['Graphic Design', 'Customer Support']",16
TASK-00050,Than player fear quite plant scientist skill.,CSS,2025-01-17,High,"['TASK-00041', 'TASK-00013', 'TASK-00012']",8,TM-008,"['HTML', 'Graphic Design', 'CSS']",17
TASK-00051,Rest stuff rest already.,Event Planning,2025-01-11,High,[],3,TM-446,"['Graphic Design', 'Python']",5
TASK-00052,Movement could from where edge authority.,C++,2025-01-09,Low,"['TASK-00028', 'TASK-00023', 'TASK-00009']",7,TM-357,"['Data Analysis', 'HTML', 'SQL']",10
TASK-00053,Personal chair talk.,HTML,2025-01-21,High,[],2,TM-379,"['Finance', 'Graphic Design', 'SEO', 'Design']",13
TASK-00054,Require teacher go long central note.,Data Analysis,2025-01-01,Medium,['TASK-00047'],3,TM-371,"['CSS', 'Python']",18
TASK-00055,Movement call issue hold question.,DevOps,2025-01-02,High,"['TASK-00025', 'TASK-00021', 'TASK-00029']",3,TM-261,"['HTML', 'Design', 'CSS', 'Event Planning']",10
TASK-00056,Soon green station travel.,Java,2025-01-10,High,"['TASK-00019', 'TASK-00021', 'TASK-00025']",6,TM-388,"['CSS', 'Java', 'Graphic Design']",6
TASK-00057,Fine black price business.,Graphic Design,2024-12-31,High,"['TASK-00037', 'TASK-00040']",6,TM-051,"['Data Analysis', 'SQL', 'Java', 'CSS']",8
TASK-00058,Pretty threat become speak time must admit.,Event Planning,2024-12-26,Medium,['TASK-00057'],3,TM-148,"['HTML', 'Design', 'SEO', 'CSS']",4
TASK-00059,Minute movie actually sea.,HTML,2024-12-26,Low,['TASK-00002'],1,TM-492,"['Python', 'Event Planning', 'Graphic Design']",0
TASK-00060,Method that participant eat bank economy result.,DevOps,2025-01-01,Low,"['TASK-00037', 'TASK-00028']",8,TM-267,"['Finance', 'Data Analysis', 'Customer Support']",3
TASK-00061,Man degree light day billion significant interest.,HTML,2025-01-21,Medium,"['TASK-00032', 'TASK-00017', 'TASK-00006']",3,TM-143,"['DevOps', 'C++']",7
TASK-00062,Approach draw sense weight position unit garden.,C++,2025-01-21,Medium,['TASK-00033'],6,TM-142,"['Customer Support', 'C++', 'DevOps', 'Finance', 'SQL']",1
TASK-00063,Require at before page Mr news.,Graphic Design,2024-12-26,Low,"['TASK-00013', 'TASK-00054']",1,TM-486,"['Design', 'CSS']",18
TASK-00064,Interest sing check use include have we.,Teaching,2025-01-06,Low,['TASK-00017'],8,TM-078,"['SQL', 'Event Planning', 'CSS', 'C++', 'HTML']",20
TASK-00065,Force piece because indeed.,C++,2024-12-25,High,['TASK-00001'],7,TM-035,"['Marketing', 'SQL', 'Python', 'Customer Support', 'DevOps']",8
TASK-00066,Meet pick watch this important loss.,Teaching,2025-01-21,High,['TASK-00045'],8,TM-272,"['Data Analysis', 'Design', 'Finance']",9
TASK-00067,Should material join personal result side world.,Event Planning,2025-01-09,Medium,"['TASK-00046', 'TASK-00062', 'TASK-00038']",2,TM-113,"['Data Analysis', 'Graphic Design']",14
TASK-00068,Not future sort because indeed.,SEO,2025-01-10,Low,"['TASK-00015', 'TASK-00023', 'TASK-00060']",6,TM-339,"['DevOps', 'Teaching']",4
TASK-00069,Happy story parent behind yourself seat perhaps.,Event Planning,2024-12-29,Medium,"['TASK-00031', 'TASK-00004', 'TASK-00038']",5,TM-260,"['Graphic Design', 'Java', 'Editing']",10
TASK-00070,Rich performance staff method record end.,Editing,2025-01-19,High,"['TASK-00053', 'TASK-00051']",8,TM-218,"['Editing', 'Java', 'CSS', 'Design', 'DevOps']",7
TASK-00071,Smile for authority visit.,SEO,2025-01-14,High,[],5,TM-230,"['Design', 'SQL', 'Editing', 'HTML', 'Teaching']",20
TASK-00072,Strategy catch small behind.,HTML,2025-01-14,High,"['TASK-00017', 'TASK-00070']",1,TM-487,"['Teaching', 'C++']",10
TASK-00073,Cost what either science contain people drug.,DevOps,2025-01-06,High,[],1,TM-266,"['DevOps', 'Marketing', 'C++']",17
TASK-00074,Would environmental share address exist quite western.,Teaching,2024-12-27,High,['TASK-00038'],3,TM-467,"['SEO', 'Graphic Design', 'HTML', 'Editing']",7
TASK-00075,And than fight as information other although long.,Python,2025-01-09,Low,[],2,TM-257,"['Event Planning', 'Java', 'C++', 'CSS', 'Graphic Design']",0
TASK-00076,Instead everybody point character feel fast development.,Design,2025-01-02,High,['TASK-00005'],5,TM-384,"['Teaching', 'Customer Support']",4
TASK-00077,Make they now chair.,Editing,2025-01-14,Low,[],2,TM-259,"['Python', 'Customer Support', 'DevOps', 'Graphic Design', 'Editing']",19
TASK-00078,Summer better popular maintain field tough.,CSS,2025-01-07,Low,"['TASK-00025', 'TASK-00040', 'TASK-00042']",7,TM-263,"['Data Analysis', 'Editing']",14
TASK-00079,Radio pressure home hard ahead nature.,Marketing,2025-01-19,Low,"['TASK-00074', 'TASK-00061']",7,TM-150,"['C++', 'Design', 'Marketing', 'Editing', 'CSS']",15
TASK-00080,Will stock successful manager decade travel.,Data Analysis,2024-12-30,High,['TASK-00049'],1,TM-255,"['DevOps', 'HTML', 'Design', 'Event Planning', 'Data Analysis']",0
TASK-00081,Hold meet ago memory free standard small.,Teaching,2025-01-11,Low,"['TASK-00048', 'TASK-00062', 'TASK-00073']",2,TM-330,"['SEO', 'CSS', 'Teaching', 'Customer Support']",2
TASK-00082,Somebody attention same break go administration.,HTML,2024-12-28,High,['TASK-00027'],8,TM-304,"['C++', 'CSS', 'Marketing']",19
TASK-00083,Data store machine cost.,Event Planning,2024-12-24,High,['TASK-00008'],8,TM-130,"['Data Analysis', 'SEO', 'Graphic Design', 'C++', 'Python']",10
TASK-00084,Tend onto might.,Graphic Design,2024-12-29,Low,"['TASK-00027', 'TASK-00072']",8,TM-280,"['SEO', 'Design', 'SQL', 'Event Planning', 'DevOps']",15
TASK-00085,Find two well receive.,Customer Support,2025-01-14,High,[],2,TM-218,"['Teaching', 'CSS']",0
TASK-00086,Beyond idea forget throughout begin method.,SQL,2025-01-05,High,[],3,TM-102,"['HTML', 'Java', 'Finance', 'Marketing', 'Design']",5
TASK-00087,Meeting perhaps could gas senior.,Customer Support,2025-01-08,Medium,['TASK-00071'],7,TM-205,"['Data Analysis', 'HTML']",13
TASK-00088,Training voice end out I.,Data Analysis,2025-01-04,High,"['TASK-00067', 'TASK-00042']",6,TM-289,"['CSS', 'Data Analysis', 'Editing']",6
TASK-00089,Wish station late brother watch.,DevOps,2025-01-16,High,"['TASK-00061', 'TASK-00060']",4,TM-480,"['CSS', 'SQL', 'Editing', 'DevOps']",15
TASK-00090,Stop rock international small put candidate wide public.,Python,2024-12-24,Medium,"['TASK-00023', 'TASK-00020', 'TASK-00061']",2,TM-003,"['Marketing', 'Customer Support', 'DevOps', 'Java']",17
TASK-00091,Majority be foot perform international huge.,Finance,2024-12-30,Medium,[],1,TM-320,"['SQL', 'C++', 'Customer Support', 'SEO', 'Editing']",7
TASK-00092,Himself through after each check hot.,DevOps,2025-01-15,High,[],4,TM-141,"['Graphic Design', 'Data Analysis', 'SQL', 'Event Planning']",12
TASK-00093,Sit ok break picture hit skill beyond.,Editing,2025-01-02,High,['TASK-00010'],3,TM-053,"['Editing', 'SQL', 'CSS']",18
TASK-00094,System get would participant half wish.,HTML,2024-12-27,Low,"['TASK-00043', 'TASK-00074', 'TASK-00076']",5,TM-495,"['Marketing', 'SQL', 'Python', 'Teaching', 'HTML']",6
TASK-00095,Skin hear smile teacher free force home.,C++,2024-12-31,High,['TASK-00019'],3,TM-244,"['SEO', 'C++']",1
TASK-00096,Father so have other miss win too report.,CSS,2025-01-22,High,"['TASK-00055', 'TASK-00086', 'TASK-00061']",6,TM-155,"['Design', 'Teaching']",12
TASK-00097,Street live base star.,Teaching,2024-12-26,High,"['TASK-00046', 'TASK-00040', 'TASK-00067']",6,TM-272,"['Marketing', 'SQL']",20
TASK-00098,Teacher push ever difference should.,Editing,2024-12-27,High,['TASK-00056'],8,TM-251,"['HTML', 'Graphic Design', 'SEO', 'SQL']",5
TASK-00099,Forget sound step continue college evidence owner.,Python,2025-01-07,Medium,"['TASK-00086', 'TASK-00045', 'TASK-00094']",7,TM-110,"['Teaching', 'DevOps', 'C++']",0
TASK-00100,Team sing public exist laugh.,Marketing,2024-12-29,Medium,"['TASK-00068', 'TASK-00025']",1,TM-301,"['SEO', 'HTML', 'Finance', 'SQL']",8
TASK-00101,Product generation try rule around front improve.,Customer Support,2025-01-03,Low,"['TASK-00005', 'TASK-00083']",5,TM-329,"['Teaching', 'Java', 'DevOps', 'Finance', 'CSS']",8
TASK-00102,Easy policy whether future seek.,Java,2025-01-02,High,[],8,TM-312,"['Event Planning', 'SQL', 'Design', 'DevOps', 'SEO']",17
TASK-00103,Sense some agency recognize bar hair.,HTML,2025-01-02,Low,"['TASK-00004', 'TASK-00079']",3,TM-362,"['CSS', 'C++', 'Marketing']",3
TASK-00104,Sense their run like show class.,Java,2025-01-18,Medium,[],6,TM-050,"['Marketing', 'Python', 'SQL', 'Graphic Design']",10
TASK-00105,Reality company subject form because hundred trial thought.,SQL,2025-01-13,High,"['TASK-00067', 'TASK-00002']",7,TM-214,"['C++', 'Marketing']",16
TASK-00106,Traditional whole movement show still pull.,CSS,2024-12-30,High,"['TASK-00011', 'TASK-00023']",8,TM-023,"['Marketing', 'Graphic Design', 'C++', 'SEO']",0
TASK-00107,Chance each positive local federal although.,Data Analysis,2025-01-02,Medium,"['TASK-00016', 'TASK-00044']",8,TM-291,"['Finance', 'C++']",3
TASK-00108,Serious travel sell.,C++,2024-12-30,Low,[],3,TM-163,"['SQL', 'Python']",6
TASK-00109,Young remember course protect left sea letter.,DevOps,2025-01-08,Medium,[],4,TM-158,"['CSS', 'Data Analysis', 'Python']",12
TASK-00110,Once tell son concern upon discuss phone smile.,Data Analysis,2024-12-30,Low,"['TASK-00018', 'TASK-00073']",6,TM-212,"['Marketing', 'Editing', 'Finance']",6
TASK-00111,Particularly main situation mention.,SQL,2025-01-21,Medium,"['TASK-00090', 'TASK-00057']",5,TM-048,"['DevOps', 'Customer Support', 'SQL', 'Teaching', 'SEO']",16
TASK-00112,Foreign almost quality green.,Finance,2025-01-11,High,['TASK-00005'],7,TM-080,"['Graphic Design', 'DevOps', 'SEO']",9
TASK-00113,Hundred new nothing resource find.,Marketing,2025-01-06,Medium,"['TASK-00012', 'TASK-00066']",4,TM-133,"['Finance', 'Editing', 'Python']",3
TASK-00114,Science begin themselves understand.,Customer Support,2025-01-03,High,['TASK-00061'],3,TM-240,"['DevOps', 'Teaching', 'SEO', 'Data Analysis']",1
TASK-00115,Only rule need actually.,SEO,2025-01-07,High,[],6,TM-446,"['SQL', 'Graphic Design']",15
TASK-00116,Bring success heart.,SEO,2025-01-04,Medium,[],3,TM-468,"['Data Analysis', 'SQL', 'Design', 'Editing']",5
TASK-00117,Catch day central I.,Python,2025-01-08,Medium,"['TASK-00076', 'TASK-00074', 'TASK-00089']",7,TM-375,"['Event Planning', 'Design', 'CSS', 'DevOps', 'SQL']",19
TASK-00118,Especially drop world gun.,SEO,2025-01-14,Medium,"['TASK-00039', 'TASK-00006', 'TASK-00113']",4,TM-391,"['Graphic Design', 'Customer Support']",8
TASK-00119,Success think value.,Teaching,2025-01-06,High,[],3,TM-263,"['Data Analysis', 'Marketing', 'Customer Support']",4
TASK-00120,Budget choose military no sometimes watch consider.,CSS,2025-01-07,High,"['TASK-00101', 'TASK-00007']",2,TM-159,"['DevOps', 'Finance', 'Marketing']",5
TASK-00121,Increase series pattern.,Finance,2024-12-27,Low,['TASK-00026'],3,TM-155,"['C++', 'SQL', 'HTML', 'Graphic Design']",6
TASK-00122,Brother law still arrive nature.,Graphic Design,2025-01-11,Low,['TASK-00020'],6,TM-003,"['SQL', 'DevOps', 'Java', 'Design', 'Editing']",12
TASK-00123,Whole material million box card myself car.,Marketing,2025-01-15,Medium,"['TASK-00107', 'TASK-00060', 'TASK-00091']",4,TM-391,"['Teaching', 'CSS']",10
TASK-00124,Pay meeting bill national significant from.,CSS,2025-01-05,Medium,"['TASK-00115', 'TASK-00037']",7,TM-306,"['C++', 'DevOps', 'Design', 'SEO', 'Event Planning']",18
TASK-00125,Adult choice technology traditional ball father almost particularly.,Python,2025-01-01,Low,['TASK-00099'],4,TM-189,"['SEO', 'Python', 'Data Analysis', 'Finance']",12
TASK-00126,Management again place reality rather company tree remain.,C++,2024-12-26,High,['TASK-00018'],8,TM-097,"['Marketing', 'Data Analysis']",13
TASK-00127,Forget listen voice purpose community main.,C++,2025-01-22,Medium,"['TASK-00084', 'TASK-00024', 'TASK-00055']",3,TM-146,"['Teaching', 'Event Planning', 'Python', 'CSS']",13
TASK-00128,When one situation market book wish.,SQL,2024-12-24,Low,"['TASK-00088', 'TASK-00067', 'TASK-00107']",2,TM-239,"['DevOps', 'HTML']",20
TASK-00129,Any fine young Mrs not energy difficult mission.,Teaching,2025-01-14,Low,['TASK-00082'],3,TM-295,"['Finance', 'Python', 'Design', 'SEO', 'Graphic Design']",12
TASK-00130,Notice someone more administration include performance.,Graphic Design,2025-01-02,Low,"['TASK-00109', 'TASK-00067']",2,TM-310,"['Customer Support', 'DevOps', 'Teaching', 'Design', 'Event Planning']",10
TASK-00131,Seat message system machine.,DevOps,2025-01-02,Low,['TASK-00109'],7,TM-446,"['CSS', 'Python']",10
TASK-00132,They line staff thus discuss debate.,Editing,2024-12-27,Low,"['TASK-00112', 'TASK-00013', 'TASK-00119']",5,TM-021,"['Event Planning', 'Finance']",11
TASK-00133,Organization use right lawyer.,Java,2025-01-09,High,"['TASK-00065', 'TASK-00109']",6,TM-346,"['Python', 'Editing', 'C++', 'CSS']",11
TASK-00134,Represent truth gun past population Mr.,Graphic Design,2024-12-27,Low,"['TASK-00084', 'TASK-00077', 'TASK-00010']",2,TM-183,"['Teaching', 'Design']",5
TASK-00135,Science pattern politics ask service.,C++,2025-01-11,High,[],3,TM-373,"['Event Planning', 'Graphic Design', 'Finance']",8
TASK-00136,Quality not ground series produce sort page.,DevOps,2025-01-12,Medium,['TASK-00135'],8,TM-021,"['SEO', 'DevOps']",1
TASK-00137,Morning get commercial use own price similar.,CSS,2025-01-19,High,[],7,TM-263,"['SEO', 'Data Analysis']",13
TASK-00138,Make him and social table community.,Teaching,2025-01-11,Low,['TASK-00066'],2,TM-429,"['HTML', 'Marketing', 'Data Analysis', 'CSS', 'Graphic Design']",19
TASK-00139,Fire although arrive quickly life personal.,Customer Support,2025-01-02,High,['TASK-00013'],6,TM-294,"['Marketing', 'Graphic Design', 'CSS', 'DevOps', 'Event Planning']",5
TASK-00140,Part within if between third.,Editing,2025-01-07,High,[],7,TM-466,"['Data Analysis', 'Editing', 'Python']",13
TASK-00141,Remain may probably son share religious.,Marketing,2025-01-14,Low,"['TASK-00034', 'TASK-00071', 'TASK-00069']",8,TM-307,"['HTML', 'Design', 'Customer Support', 'Python']",10
TASK-00142,Security group left list quite.,Design,2025-01-12,Low,"['TASK-00118', 'TASK-00108']",6,TM-278,"['Event Planning', 'Python', 'SQL', 'Finance', 'Graphic Design']",11
TASK-00143,So toward shoulder particular.,Finance,2025-01-06,Low,"['TASK-00128', 'TASK-00054', 'TASK-00137']",3,TM-345,"['Editing', 'Teaching', 'Python', 'SEO', 'Data Analysis']",2
TASK-00144,Mr age over painting interview.,Event Planning,2025-01-03,High,"['TASK-00022', 'TASK-00054']",6,TM-156,"['SEO', 'Finance', 'Customer Support', 'Design']",0
TASK-00145,Wonder sport rather end half.,CSS,2025-01-11,High,['TASK-00091'],7,TM-213,"['Data Analysis', 'Event Planning']",7
TASK-00146,Coach either defense up form.,Teaching,2025-01-18,High,['TASK-00097'],2,TM-050,"['Marketing', 'Customer Support', 'Java', 'Data Analysis', 'CSS']",5
TASK-00147,Home much mind instead enjoy.,SQL,2024-12-25,High,"['TASK-00141', 'TASK-00105', 'TASK-00091']",4,TM-215,"['SEO', 'DevOps', 'Customer Support', 'Java']",20
TASK-00148,Example report cup.,SEO,2025-01-10,High,"['TASK-00058', 'TASK-00104', 'TASK-00127']",8,TM-147,"['SQL', 'Customer Support', 'Marketing', 'CSS', 'Python']",17
TASK-00149,Woman relationship attention poor drive.,SEO,2024-12-27,Medium,['TASK-00026'],7,TM-298,"['Graphic Design', 'Customer Support', 'HTML', 'SEO', 'Python']",19
TASK-00150,Provide room choice husband.,Design,2025-01-17,Low,[],7,TM-485,"['SEO', 'Design']",5
TASK-00151,Wife can exist program however inside.,Event Planning,2025-01-04,High,[],6,TM-012,"['Customer Support', 'Marketing', 'Graphic Design', 'C++', 'Design']",11
TASK-00152,Buy audience TV among study turn.,Design,2025-01-05,Low,"['TASK-00052', 'TASK-00083', 'TASK-00034']",5,TM-034,"['Marketing', 'Finance']",14
TASK-00153,Page game analysis show as.,Design,2024-12-29,High,"['TASK-00062', 'TASK-00046', 'TASK-00119']",2,TM-412,"['SQL', 'Design', 'Event Planning', 'DevOps']",2
TASK-00154,Politics enjoy job.,Python,2025-01-05,High,[],7,TM-444,"['Teaching', 'C++', 'Customer Support', 'Marketing', 'CSS']",17
TASK-00155,Trouble action art cause clear gas.,HTML,2025-01-11,High,[],8,TM-247,"['Data Analysis', 'Teaching']",1
TASK-00156,Huge interview attention career anyone identify husband.,DevOps,2025-01-09,Medium,"['TASK-00110', 'TASK-00032', 'TASK-00027']",3,TM-434,"['HTML', 'SQL', 'Event Planning', 'Marketing']",10
TASK-00157,Live form laugh fall actually.,CSS,2025-01-03,Low,"['TASK-00054', 'TASK-00068', 'TASK-00025']",6,TM-329,"['Finance', 'Event Planning']",7
TASK-00158,Team draw inside understand fish.,Editing,2025-01-14,Medium,"['TASK-00114', 'TASK-00085']",8,TM-359,"['Editing', 'Java', 'Teaching', 'C++']",4
TASK-00159,Body training evening movie choice only.,Customer Support,2025-01-09,Medium,[],4,TM-451,"['DevOps', 'Data Analysis', 'CSS', 'Customer Support']",5
TASK-00160,Human artist argue make chair.,Data Analysis,2024-12-29,Medium,"['TASK-00076', 'TASK-00040', 'TASK-00033']",3,TM-312,"['Teaching', 'Editing', 'SEO', 'HTML']",0
TASK-00161,Available who work open air off.,Marketing,2025-01-04,High,"['TASK-00038', 'TASK-00150']",1,TM-133,"['Customer Support', 'Teaching', 'Design', 'Data Analysis']",5
TASK-00162,Well conference risk phone find choose service suggest.,DevOps,2025-01-02,High,['TASK-00151'],6,TM-268,"['Teaching', 'Event Planning', 'SEO', 'C++']",16
TASK-00163,They type network dark.,Event Planning,2025-01-22,Low,"['TASK-00098', 'TASK-00004', 'TASK-00017']",6,TM-116,"['Marketing', 'Design', 'C++', 'CSS']",19
TASK-00164,Follow whole second behind ability hard interesting.,HTML,2025-01-10,High,['TASK-00092'],8,TM-236,"['Customer Support', 'Design']",6
TASK-00165,Finish mention summer suggest.,DevOps,2025-01-05,High,[],7,TM-321,"['SEO', 'C++']",8
TASK-00166,Eye loss half drop budget these garden.,C++,2025-01-15,Low,"['TASK-00146', 'TASK-00134', 'TASK-00064']",4,TM-132,"['Design', 'Customer Support', 'DevOps']",14
TASK-00167,Tax option trial myself red.,SQL,2025-01-13,Low,"['TASK-00142', 'TASK-00072']",2,TM-381,"['C++', 'CSS', 'Editing']",9
TASK-00168,North message hundred couple.,Java,2025-01-22,Low,['TASK-00063'],8,TM-238,"['Java', 'SEO']",20
TASK-00169,Well could human.,C++,2024-12-30,Low,"['TASK-00030', 'TASK-00114', 'TASK-00022']",8,TM-102,"['Marketing', 'Event Planning']",9
TASK-00170,Present military so husband.,Python,2025-01-03,High,"['TASK-00029', 'TASK-00114', 'TASK-00165']",4,TM-302,"['Python', 'Editing', 'Teaching', 'Marketing', 'Data Analysis']",8
TASK-00171,Smile send begin very.,Event Planning,2024-12-31,High,['TASK-00085'],8,TM-264,"['Data Analysis', 'Editing', 'Graphic Design', 'Event Planning']",7
TASK-00172,Expert itself relationship collection.,SEO,2025-01-16,Medium,"['TASK-00161', 'TASK-00113']",2,TM-388,"['Event Planning', 'Python', 'SQL']",16
